iter	Passed	Remaining
0	24	14737
1	44	13255
2	64	12838
3	85	12799
4	110	13181
5	132	13156
6	156	13219
7	177	13119
8	200	13169
9	223	13166
10	246	13217
11	277	13584
12	300	13548
13	326	13680
14	355	13861
15	384	14044
16	413	14176
17	442	14312
18	472	14453
19	499	14471
20	525	14497
21	556	14610
22	586	14713
23	618	14833
24	650	14955
25	683	15090
26	716	15203
27	747	15266
28	781	15380
29	814	15481
30	844	15505
31	874	15515
32	905	15555
33	938	15624
34	970	15671
35	994	15583
36	1020	15534
37	1047	15488
38	1074	15459
39	1137	15921
40	1202	16393
41	1246	16564
42	1290	16720
43	1338	16918
44	1384	17072
45	1435	17290
46	1486	17484
47	1535	17659
48	1583	17811
49	1620	17828
50	1656	17833
51	1695	17865
52	1736	17921
53	1774	17940
54	1811	17946
55	1848	17957
56	1883	17941
57	1926	17998
58	1975	18118
59	2031	18282
60	2069	18283
61	2107	18291
62	2145	18285
63	2185	18306
64	2227	18330
65	2265	18326
66	2304	18331
67	2342	18328
68	2378	18300
69	2412	18269
70	2445	18216
71	2478	18177
72	2512	18135
73	2550	18132
74	2586	18102
75	2623	18087
76	2666	18109
77	2715	18175
78	2760	18204
79	2805	18234
80	2858	18317
81	2898	18311
82	2936	18292
83	2975	18280
84	3018	18289
85	3051	18237
86	3091	18228
87	3140	18270
88	3188	18304
89	3233	18323
90	3276	18326
91	3320	18332
92	3398	18525
93	3445	18547
94	3491	18558
95	3525	18507
96	3559	18459
97	3591	18395
98	3626	18349
99	3662	18314
100	3706	18313
101	3751	18314
102	3783	18255
103	3812	18182
104	3839	18102
105	3868	18026
106	3909	18011
107	3965	18065
108	4037	18188
109	4084	18196
110	4117	18141
111	4151	18089
112	4187	18046
113	4222	18000
114	4258	17958
115	4297	17931
116	4340	17917
117	4379	17890
118	4413	17841
119	4451	17805
120	4513	17868
121	4579	17940
122	4630	17958
123	4679	17964
124	4740	18012
125	4791	18023
126	4824	17968
127	4857	17911
128	4891	17861
129	4932	17833
130	4975	17811
131	5013	17775
132	5049	17729
133	5080	17666
134	5114	17615
135	5149	17567
136	5186	17526
137	5223	17486
138	5263	17455
139	5295	17400
140	5321	17324
141	5347	17246
142	5374	17174
143	5402	17107
144	5432	17046
145	5466	16999
146	5503	16960
147	5540	16920
148	5572	16866
149	5601	16803
150	5628	16736
151	5654	16666
152	5678	16589
153	5704	16519
154	5732	16458
155	5765	16410
156	5798	16360
157	5827	16302
158	5860	16255
159	5894	16210
160	5928	16166
161	5960	16114
162	5994	16070
163	6028	16027
164	6059	15975
165	6089	15920
166	6133	15903
167	6177	15883
168	6207	15830
169	6233	15767
170	6264	15716
171	6302	15682
172	6335	15638
173	6382	15625
174	6437	15633
175	6488	15632
176	6543	15636
177	6590	15624
178	6668	15684
179	6708	15654
180	6743	15610
181	6784	15581
182	6826	15554
183	6872	15537
184	6918	15519
185	6961	15494
186	7002	15465
187	7055	15461
188	7093	15426
189	7136	15399
190	7176	15367
191	7209	15319
192	7242	15272
193	7276	15227
194	7320	15203
195	7359	15169
196	7394	15127
197	7429	15083
198	7464	15042
199	7517	15034
200	7562	15011
201	7606	14986
202	7641	14944
203	7677	14903
204	7712	14859
205	7748	14819
206	7792	14794
207	7834	14764
208	7869	14722
209	7904	14679
210	7941	14640
211	7978	14601
212	8012	14558
213	8047	14515
214	8077	14465
215	8109	14416
216	8142	14370
217	8176	14328
218	8215	14292
219	8248	14247
220	8285	14209
221	8320	14168
222	8354	14123
223	8394	14090
224	8432	14053
225	8465	14008
226	8500	13967
227	8540	13935
228	8582	13904
229	8629	13882
230	8671	13852
231	8711	13818
232	8753	13787
233	8792	13752
234	8824	13706
235	8851	13652
236	8881	13602
237	8913	13556
238	8948	13516
239	8985	13478
240	9018	13433
241	9050	13388
242	9080	13340
243	9108	13290
244	9134	13235
245	9162	13185
246	9195	13141
247	9227	13097
248	9258	13050
249	9286	13000
250	9317	12956
251	9343	12903
252	9369	12850
253	9397	12800
254	9424	12750
255	9454	12704
256	9484	12658
257	9512	12609
258	9542	12563
259	9568	12513
260	9594	12462
261	9621	12412
262	9650	12365
263	9679	12318
264	9706	12270
265	9738	12228
266	9772	12188
267	9812	12155
268	9847	12116
269	9882	12079
270	9912	12034
271	9937	11983
272	9968	11940
273	9995	11892
274	10026	11849
275	10055	11803
276	10087	11762
277	10117	11718
278	10149	11677
279	10181	11635
280	10210	11590
281	10235	11542
282	10260	11493
283	10285	11444
284	10311	11397
285	10336	11348
286	10364	11303
287	10389	11255
288	10417	11210
289	10447	11168
290	10475	11123
291	10504	11080
292	10534	11037
293	10563	10994
294	10586	10945
295	10609	10895
296	10634	10849
297	10661	10804
298	10692	10763
299	10723	10723
300	10753	10681
301	10783	10641
302	10813	10599
303	10839	10554
304	10868	10512
305	10898	10471
306	10922	10424
307	10950	10381
308	10976	10337
309	11000	10291
310	11025	10245
311	11049	10199
312	11071	10152
313	11095	10106
314	11122	10063
315	11152	10023
316	11181	9982
317	11211	9941
318	11239	9900
319	11266	9858
320	11296	9818
321	11320	9773
322	11343	9727
323	11366	9682
324	11392	9640
325	11422	9600
326	11452	9561
327	11486	9525
328	11517	9486
329	11545	9446
330	11576	9408
331	11607	9369
332	11632	9326
333	11660	9286
334	11691	9248
335	11722	9210
336	11750	9170
337	11782	9132
338	11809	9092
339	11834	9049
340	11862	9009
341	11890	8969
342	11925	8935
343	11956	8897
344	11985	8858
345	12016	8821
346	12047	8783
347	12075	8743
348	12102	8704
349	12130	8664
350	12156	8623
351	12179	8580
352	12204	8539
353	12227	8496
354	12251	8455
355	12273	8412
356	12296	8369
357	12320	8328
358	12343	8286
359	12367	8244
360	12397	8207
361	12429	8171
362	12463	8137
363	12498	8103
364	12533	8069
365	12572	8038
366	12601	8000
367	12627	7960
368	12656	7922
369	12684	7885
370	12715	7848
371	12745	7811
372	12775	7774
373	12800	7735
374	12824	7694
375	12849	7655
376	12874	7615
377	12903	7578
378	12932	7540
379	12966	7506
380	13001	7473
381	13033	7437
382	13062	7401
383	13089	7362
384	13119	7326
385	13145	7287
386	13170	7248
387	13194	7209
388	13218	7169
389	13242	7130
390	13267	7091
391	13292	7053
392	13316	7014
393	13339	6974
394	13364	6936
