model,imbalance_method,combination,roc_auc,f1_score,precision,recall
xgboost,nearmiss,xgboost_nearmiss,0.6862717879667032,0.3988919667590028,0.2777242044358727,0.7076167076167076
lightgbm,nearmiss,lightgbm_nearmiss,0.7002503273689715,0.4052924791086351,0.282798833819242,0.714987714987715
catboost,nearmiss,catboost_nearmiss,0.7014425827985151,0.40896358543417366,0.2859941234084231,0.7174447174447175
xgboost,smote,xgboost_smote,0.8565113649859413,0.6158038147138964,0.691131498470948,0.5552825552825553
lightgbm,smote,lightgbm_smote,0.8583467905501804,0.6108897742363878,0.6647398843930635,0.5651105651105651
catboost,smote,catboost_smote,0.8595236222354866,0.6044568245125348,0.6977491961414791,0.5331695331695332
xgboost,smoteenn,xgboost_smoteenn,0.857444501512298,0.6277836691410392,0.5522388059701493,0.7272727272727273
lightgbm,smoteenn,lightgbm_smoteenn,0.8575154507357897,0.6169989506820567,0.5384615384615384,0.7223587223587223
catboost,smoteenn,catboost_smoteenn,0.8620654552857943,0.6301969365426696,0.5680473372781065,0.7076167076167076
xgboost,smotetomek,xgboost_smotetomek,0.8559807881841779,0.6288798920377868,0.6976047904191617,0.5724815724815725
lightgbm,smotetomek,lightgbm_smotetomek,0.8565283311046021,0.6259946949602122,0.6801152737752162,0.5798525798525799
catboost,smotetomek,catboost_smotetomek,0.8625451337315744,0.6310013717421125,0.7142857142857143,0.5651105651105651
