model,imbalance_method,combination,roc_auc,f1_score,precision,recall
logistic_regression,none,logistic_regression_none,0.7747778595236223,0.2835820895522388,0.5891472868217055,0.18673218673218672
random_forest,none,random_forest_none,0.8522181657774878,0.5789473684210527,0.7824267782426778,0.4594594594594595
xgboost,none,xgboost_none,0.855061533027635,0.6008836524300442,0.75,0.5012285012285013
lightgbm,none,lightgbm_none,0.8602192331005891,0.5901639344262295,0.75,0.4864864864864865
catboost,none,catboost_none,0.8744692304014338,0.6128048780487805,0.8072289156626506,0.49385749385749383
logistic_regression,smote,logistic_regression_smote,0.7768754887398955,0.4995602462620932,0.38904109589041097,0.6977886977886978
random_forest,smote,random_forest_smote,0.8474961864792373,0.605,0.6157760814249363,0.5945945945945946
xgboost,smote,xgboost_smote,0.8584593838831126,0.6392009987515606,0.649746192893401,0.628992628992629
lightgbm,smote,lightgbm_smote,0.8621194383906248,0.621870882740448,0.6704545454545454,0.5798525798525799
catboost,smote,catboost_smote,0.8696122933411068,0.6297968397291196,0.5824634655532359,0.6855036855036855
logistic_regression,oversample,logistic_regression_oversample,0.7781140154021509,0.5043630017452007,0.3910690121786198,0.7100737100737101
random_forest,oversample,random_forest_oversample,0.8533849720290397,0.5955678670360111,0.6825396825396826,0.5282555282555282
xgboost,oversample,xgboost_oversample,0.8578270103693831,0.6006256517205423,0.5217391304347826,0.7076167076167076
lightgbm,oversample,lightgbm_oversample,0.8583683837921126,0.6016771488469602,0.5246800731261426,0.7051597051597052
catboost,oversample,catboost_oversample,0.8754532652837738,0.6169154228855721,0.5183946488294314,0.7616707616707616
logistic_regression,undersample,logistic_regression_undersample,0.7746390458254865,0.49531914893617024,0.37890625,0.714987714987715
random_forest,undersample,random_forest_undersample,0.8530317682860056,0.5919540229885057,0.4850863422291994,0.7592137592137592
xgboost,undersample,xgboost_undersample,0.8600480295395551,0.5921680993314231,0.484375,0.7616707616707616
lightgbm,undersample,lightgbm_undersample,0.8580521970352478,0.5819209039548022,0.4717557251908397,0.7592137592137592
catboost,undersample,catboost_undersample,0.8738522806319416,0.5979381443298969,0.48333333333333334,0.7837837837837838
